date,platform,country,networks,market_volume
2021-12-05,Android,US,Unity,1498729.9328461194
2021-12-05,Android,US,Amazon,3042069.4251098903
2021-12-05,Android,US,AdMob,8675433.240278082
2021-12-05,Android,US,Chartboost,192649.74295945946
2021-12-05,Android,US,Facebook,3573644.300223583
2021-11-30,Android,UK,Unity,379750.90702421055
2021-11-30,Android,UK,IronSource,189368.32061538458
2021-11-30,Android,UK,AdMob,637061.7291652175
2021-11-30,Android,UK,Chartboost,33514.040428571425
2021-11-30,Android,UK,AppLovin,255226.99800000002
2021-11-30,Android,UK,Facebook,273736.03736690717
2021-11-30,Android,UK,other,215523.75593777778
2021-11-29,iOS,US,AdMob,2985434.1757061444
2021-11-29,iOS,US,Amazon,1340159.3725609756
2021-11-29,iOS,US,Chartboost,428076.5701851385
2021-11-29,iOS,US,Facebook,2020119.0883051546
2021-11-29,iOS,US,other,1366118.247273508
2021-11-29,iOS,US,AppLovin,1101027.4919934242
2021-11-29,iOS,US,Unity,1289361.134810993
2021-11-29,iOS,US,IronSource,1494977.263175268
2021-12-01,Android,AR,AdMob,803500.3110758755
2021-12-01,Android,AR,Chartboost,133963.3207625
2021-12-01,Android,AR,Unity,444986.68055510195
2021-12-01,Android,AR,AppLovin,432737.83027027035
2021-12-01,Android,AR,Amazon,365166.02161184215
2021-12-01,Android,AR,IronSource,283759.83666666667
2021-12-01,Android,AR,Facebook,869903.704161226
2021-12-01,Android,AR,other,323515.5682658621
2021-12-05,iOS,US,AppLovin,2066409.270014735
2021-12-05,iOS,US,Amazon,7330369.027959184
2021-12-05,iOS,US,AdMob,4838318.746122596
2021-12-05,iOS,US,Facebook,3967262.988
2021-12-05,iOS,US,other,2464538.067391304
2021-12-05,iOS,US,Unity,2640826.545237369
2021-12-05,iOS,US,IronSource,2091904.7144129872
2021-12-05,iOS,US,Chartboost,958813.1211945814
2021-11-29,iOS,AR,AppLovin,18769.47333333333
2021-11-29,iOS,AR,Chartboost,5169.083586206896
2021-11-29,iOS,AR,Unity,19366.311039999997
2021-11-29,iOS,AR,other,15209.195984105958
2021-11-29,iOS,AR,IronSource,9986.463899999999
2021-12-05,Android,AR,AdMob,1759104.8284235292
2021-12-05,Android,AR,Facebook,1248863.149952174
2021-12-05,Android,AR,Unity,523937.64760396036
2021-12-05,Android,AR,IronSource,631781.6955652175
2021-12-05,Android,AR,Chartboost,94849.07402432432
2021-12-05,Android,AR,other,524631.8266875
2021-12-05,Android,AR,AppLovin,433146.82821428566
2021-12-05,Android,AR,Amazon,1420005.2306603775
2021-12-05,iOS,UK,AdMob,1403234.2307083332
2021-12-05,iOS,UK,IronSource,387704.5672739361
2021-12-05,iOS,UK,other,501642.0502994013
2021-12-05,iOS,UK,Unity,236832.53256
2021-12-05,iOS,UK,AppLovin,412315.81250000006
2021-12-05,iOS,UK,Chartboost,137536.029
2021-12-03,Android,US,AppLovin,1651455.7091525423
2021-12-03,Android,US,Unity,1415014.7232523635
2021-12-03,Android,US,Facebook,2837096.6758381976
2021-12-03,Android,US,Chartboost,992309.7996040002
2021-12-03,Android,US,IronSource,808644.3430893922
2021-12-03,Android,US,Amazon,1933634.3229515417
2021-12-03,Android,US,other,1288470.0367059829
2021-12-03,Android,US,AdMob,1910616.1736842105
2021-11-29,iOS,UK,Chartboost,73773.79533333333
2021-11-29,iOS,UK,Facebook,745125.65088
2021-11-29,iOS,UK,Unity,298726.1840254545
2021-11-29,iOS,UK,IronSource,230885.700703125
2021-11-29,iOS,UK,other,232017.24315000005
2021-11-29,iOS,UK,AdMob,789243.9057608695
2021-11-29,iOS,UK,AppLovin,179837.14771505375
2021-11-29,Android,US,AppLovin,1274780.2810968105
2021-11-29,Android,US,AdMob,3606745.956637778
2021-11-29,Android,US,IronSource,724786.3015621837
2021-11-29,Android,US,other,858931.6476489797
2021-11-29,Android,US,Chartboost,174537.50775000002
2021-11-29,Android,US,Amazon,1541299.5146675357
2021-11-29,Android,US,Facebook,2938106.9779126276
2021-11-29,Android,US,Unity,945005.0477099065
2021-12-03,Android,UK,other,150052.14323798884
2021-12-03,Android,UK,IronSource,87231.68745652174
2021-12-03,Android,UK,Facebook,298613.05963475804
2021-12-03,Android,UK,Unity,223345.3991225806
2021-12-03,Android,UK,Chartboost,77216.43870000001
2021-12-03,Android,UK,AppLovin,396693.99739726033
2021-12-03,Android,UK,AdMob,1838010.96
2021-12-04,Android,UK,other,272681.11698113213
2021-12-04,Android,UK,AdMob,1544864.16
2021-12-04,Android,UK,Chartboost,152255.74
2021-12-04,Android,UK,Facebook,394809.056
2021-12-04,Android,UK,IronSource,393161.30000000005
2021-12-04,Android,UK,AppLovin,484837.2148148148
2021-12-04,Android,UK,Unity,536429.2519384614
2021-11-29,Android,AR,Unity,417134.06509606296
2021-11-29,Android,AR,Amazon,813106.366816609
2021-11-29,Android,AR,Chartboost,69895.16184807694
2021-11-29,Android,AR,AdMob,1291228.7597323772
2021-11-29,Android,AR,AppLovin,513324.4430578513
2021-11-29,Android,AR,IronSource,478527.53769696975
2021-11-29,Android,AR,Facebook,1334476.6201893976
2021-11-29,Android,AR,other,379680.3698245482
2021-12-03,Android,AR,IronSource,408157.3152380952
2021-12-03,Android,AR,AppLovin,478679.21238938044
2021-12-03,Android,AR,Chartboost,138886.513975
2021-12-03,Android,AR,other,437036.30752419354
2021-12-03,Android,AR,Amazon,551498.706
2021-12-03,Android,AR,Facebook,1016867.8427940477
2021-12-03,Android,AR,Unity,767837.3063225806
2021-12-03,Android,AR,AdMob,845134.2114285715
2021-12-04,iOS,AR,AppLovin,22220.293269230773
2021-12-04,iOS,AR,other,7919.312521153846
2021-12-04,iOS,AR,IronSource,8172.897545454543
2021-12-04,iOS,AR,Chartboost,2635.715892857143
2021-12-03,iOS,UK,Unity,333374.52284999995
2021-12-03,iOS,UK,Chartboost,66858.93547826087
2021-12-03,iOS,UK,IronSource,236125.9424873949
2021-12-03,iOS,UK,AdMob,339652.3968
2021-12-03,iOS,UK,other,257509.49889671055
2021-12-03,iOS,UK,AppLovin,225192.69050847457
2021-12-02,iOS,AR,other,24860.097777777773
2021-12-02,iOS,AR,AppLovin,17559.921818181818
2021-12-02,iOS,AR,Chartboost,17867.7576
2021-12-02,iOS,AR,Unity,1857.4647
2021-12-03,iOS,US,Amazon,1334006.5655172416
2021-12-03,iOS,US,Unity,1961951.9041345792
2021-12-03,iOS,US,AdMob,2645759.3076199996
2021-12-03,iOS,US,other,1576040.2118751614
2021-12-03,iOS,US,AppLovin,1567809.5415027323
2021-12-03,iOS,US,Chartboost,438342.9702895323
2021-12-03,iOS,US,IronSource,1431269.2566072305
2021-12-03,iOS,US,Facebook,2967513.785998666
2021-12-02,iOS,UK,Chartboost,129046.00499999999
2021-12-02,iOS,UK,AdMob,338215.4534755102
2021-12-02,iOS,UK,other,284819.9851456311
2021-12-02,iOS,UK,AppLovin,274776.746
2021-12-02,iOS,UK,Unity,393380.5710545455
2021-12-02,iOS,UK,IronSource,244471.44570220585
2021-11-30,iOS,US,AdMob,3120099.3054041336
2021-11-30,iOS,US,Amazon,1641672.7682926827
2021-11-30,iOS,US,Chartboost,481537.73798208474
2021-11-30,iOS,US,AppLovin,1197821.2643110186
2021-11-30,iOS,US,IronSource,1206726.962031746
2021-11-30,iOS,US,Unity,1268607.1072281164
2021-11-30,iOS,US,Facebook,2847178.011155
2021-11-30,iOS,US,other,1691051.6951522506
2021-12-04,Android,AR,AdMob,903293.5482593525
2021-12-04,Android,AR,IronSource,437712.1855652174
2021-12-04,Android,AR,Chartboost,409197.5629357144
2021-12-04,Android,AR,AppLovin,1236189.0575438596
2021-12-04,Android,AR,Unity,735987.6911031847
2021-12-04,Android,AR,Facebook,1296096.0304548068
2021-12-04,Android,AR,Amazon,811327.2394186046
2021-12-04,Android,AR,other,341837.06575377646
2021-12-02,Android,AR,Chartboost,92185.89290999998
2021-12-02,Android,AR,other,447622.5488225806
2021-12-02,Android,AR,AppLovin,335450.44317073165
2021-12-02,Android,AR,IronSource,344763.16560000007
2021-12-02,Android,AR,AdMob,1262339.6585043105
2021-12-02,Android,AR,Amazon,707604.9715384615
2021-12-02,Android,AR,Facebook,742794.87024
2021-12-02,Android,AR,Unity,428945.23593442625
2021-12-01,Android,UK,Chartboost,66478.5232
2021-12-01,Android,UK,AdMob,516329.3804166667
2021-12-01,Android,UK,AppLovin,232710.6328358209
2021-12-01,Android,UK,other,129159.61496496001
2021-12-01,Android,UK,Unity,293327.91679999995
2021-12-01,Android,UK,IronSource,205603.68
2021-12-01,Android,UK,Facebook,528961.6804711926
2021-12-03,iOS,AR,Chartboost,1847.0005714285717
2021-12-03,iOS,AR,IronSource,18958.185999999998
2021-12-03,iOS,AR,AppLovin,25724.69125
2021-12-03,iOS,AR,other,22205.217632558142
2021-11-29,Android,UK,AdMob,985814.201668293
2021-11-29,Android,UK,IronSource,157962.8649047619
2021-11-29,Android,UK,Chartboost,45593.28054
2021-11-29,Android,UK,Facebook,372882.2404724812
2021-11-29,Android,UK,Unity,191454.29844705883
2021-11-29,Android,UK,other,197944.58222797926
2021-11-29,Android,UK,AppLovin,298880.20076086954
2021-11-30,iOS,AR,Chartboost,4399.4562857142855
2021-11-30,iOS,AR,other,10703.530368992248
2021-11-30,iOS,AR,AppLovin,8552.96141304348
2021-11-30,iOS,AR,Unity,4340.31208
2021-11-30,iOS,AR,IronSource,9162.504
2021-12-11,Android,US,Facebook,4099100.0750363134
2021-12-11,Android,US,AdMob,7022517.009738359
2021-12-11,Android,US,Unity,1408174.7103693571
2021-12-11,Android,US,Amazon,3370885.7084048027
2021-12-11,Android,US,AppLovin,2436550.2190812724
2021-12-11,Android,US,Chartboost,119339.14311111109
2021-12-11,Android,US,other,2482265.9501519757
2021-12-11,Android,US,IronSource,1358082.6147211897
2021-12-08,Android,US,IronSource,1897149.8686866954
2021-12-08,Android,US,Facebook,2260368.416335285
2021-12-08,Android,US,Amazon,2016487.6563287152
2021-12-08,Android,US,Chartboost,249482.69670348836
2021-12-08,Android,US,AdMob,4200201.918628143
2021-12-08,Android,US,other,1478625.0197239649
2021-12-08,Android,US,AppLovin,1415049.1651376146
2021-12-08,Android,US,Unity,1079288.0363785166
2021-12-12,Android,UK,AppLovin,627664.396492549
2021-12-12,Android,UK,IronSource,265729.906
